NO,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,変更内容,column_8,SubNo,チェック項目（2023）,version,sheet,source_url
1,データエンジニアリング,環境構築,システム企画,★,オープンデータを収集して活用する分析システムの要件を整理できる,,,1,オープンデータを収集して活用する分析システムの要件を整理できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
2,データエンジニアリング,環境構築,システム企画,★★,数千万レコードの大容量データを蓄積・分析するシステムにおいて、データの重要性や分析要件に則したシステム構築、初期データ投入方法、システム運用の要件定義が行える,,,2,数千万レコードの大容量データを蓄積・分析するシステムにおいて、データの重要性や分析要件に則したシステム構築、初期データ投入方法、システム運用の要件定義が行える,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
3,データエンジニアリング,環境構築,システム企画,★★,ソフトウェア開発プロジェクトの管理方法、設計、テスト方法を理解した上で、データ管理・分析システムの要件定義を行うことができる,,,3,ソフトウェア開発プロジェクトの管理方法、設計、テスト方法を理解した上で、データ管理・分析システムの要件定義を行うことができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
4,データエンジニアリング,環境構築,システム企画,★★★,組織の情報システム戦略、全体システム化計画の方針に従い、全体最適の観点を持って、データ分析システムの企画・要件定義を推進できる,,,4,組織の情報システム戦略、全体システム化計画の方針に従い、全体最適の観点を持って、データ分析システムの企画・要件定義を推進できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
5,データエンジニアリング,環境構築,システム企画,★★★,データ活用戦略を正しく理解し、各種業務プロセスについての専門知識とシステムに関する知識を有し、双方を活用して、適切な要件定義が行える,,,5,データ活用戦略を正しく理解し、各種業務プロセスについての専門知識とシステムに関する知識を有し、双方を活用して、適切な要件定義が行える,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6,データエンジニアリング,環境構築,システム企画,★★★,プライベートネットワーク上の内部データ（CRM、Webログ、ユーザー購買データなど）とインターネット上データ（気象データ、為替変動データなど）の仕様を理解し、両方のデータソースを統合する要件を整理できる,,,6,プライベートネットワーク上の内部データ（CRM、Webログ、ユーザー購買データなど）とインターネット上データ（気象データ、為替変動データなど）の仕様を理解し、両方のデータソースを統合する要件を整理できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
7,データエンジニアリング,環境構築,システム企画,★★★,オンプレミス環境もしくはIaaS上の分析システムにおいて業務要件やリソース負荷に応じて、データフローや管理機構の統合、またバッチ実行スケジュールの最適化について要件定義が行える,,,7,オンプレミス環境もしくはIaaS上の分析システムにおいて業務要件やリソース負荷に応じて、データフローや管理機構の統合、またバッチ実行スケジュールの最適化について要件定義が行える,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
8,データエンジニアリング,環境構築,システム設計,★,サーバー1～10台規模のシステム構築、システム運用を手順書を元に実行できる,,,8,サーバー1～10台規模のシステム構築、システム運用を手順書を元に実行できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
9,データエンジニアリング,環境構築,システム設計,★,オンプレミス環境もしくはIaaS上のデータベースに格納された分析データのバックアップやアーカイブ作成などの定常運用ができる,,,9,オンプレミス環境もしくはIaaS上のデータベースに格納された分析データのバックアップやアーカイブ作成などの定常運用ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
10,データエンジニアリング,環境構築,システム設計,★★,オンプレミス環境もしくはIaaS上の分析システムにおけるシステム運用（監視、フェイルオーバー、バックアップ、リカバリー処理、サービス開始・停止処理など）の運用設計や手順書作成が行える,,,10,オンプレミス環境もしくはIaaS上の分析システムにおけるシステム運用（監視、フェイルオーバー、バックアップ、リカバリー処理、サービス開始・停止処理など）の運用設計や手順書作成が行える,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
