version,area,sheet,no,subno,phase,section,category,subcategory,skill_level,skill_level_rank,vc,ds,de,bz,required_skill,old_division,skill_definition,ai_utilization,ai_utilization_type,ai_category,item_id,item,notes,source_url
6.00,foundation,基盤,1,1,,,行動規範,ビジネスマインド,★,1,,,,,〇,旧BZ,,,,,foundation-0001,ビジネスにおける「論理とデータの重要性」を認識し、分析的でデータドリブンな考え方に基づき行動できる,No: 1 | Sub No: 1 | スキルカテゴリ: 行動規範 | サブカテゴリ: ビジネスマインド | スキルレベル: ★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,2,2,,,行動規範,ビジネスマインド,★,1,,,,,〇,旧BZ,,,,,foundation-0002,「目的やゴールの設定がないままデータを分析しても、意味合いが出ない」ことを理解している,No: 2 | Sub No: 2 | スキルカテゴリ: 行動規範 | サブカテゴリ: ビジネスマインド | スキルレベル: ★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,3,3,,,行動規範,ビジネスマインド,★,1,,,,,〇,旧BZ,,,,,foundation-0003,課題や仮説を言語化することの重要性を理解している,No: 3 | Sub No: 3 | スキルカテゴリ: 行動規範 | サブカテゴリ: ビジネスマインド | スキルレベル: ★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,4,4,,,行動規範,ビジネスマインド,★,1,,,,,〇,旧BZ,,,,,foundation-0004,現場に出向いてヒアリングするなど、一次情報に接することの重要性を理解している,No: 4 | Sub No: 4 | スキルカテゴリ: 行動規範 | サブカテゴリ: ビジネスマインド | スキルレベル: ★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,5,5,,,行動規範,ビジネスマインド,★★,2,,,,,〇,旧BZ,,,,,foundation-0005,作業ありきではなく、解決すべき課題（イシュー）ありきで行動できる,No: 5 | Sub No: 5 | スキルカテゴリ: 行動規範 | サブカテゴリ: ビジネスマインド | スキルレベル: ★★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,6,6,,,行動規範,データ・AI倫理,★,1,,,,,〇,旧BZ,,,,,foundation-0006,データを取り扱う人間として相応しい倫理を身に着けている（データのねつ造、改ざん、盗用を行わないなど）,No: 6 | Sub No: 6 | スキルカテゴリ: 行動規範 | サブカテゴリ: データ・AI倫理 | スキルレベル: ★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,7,7,,,行動規範,データ・AI倫理,★,1,,＊,＊,,〇,旧BZ,,,,,foundation-0007,データ、AI、機械学習の意図的な悪用（真偽の識別が困難なレベルの画像・音声作成、フェイク情報の作成、Botによる企業・国家への攻撃など）があり得ることを勘案し、技術に関する基礎的な知識と倫理を身につけている,No: 7 | Sub No: 7 | スキルカテゴリ: 行動規範 | サブカテゴリ: データ・AI倫理 | スキルレベル: ★ | DS: ＊ | DE: ＊ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,8,8,,,行動規範,コンプライアンス,★,1,,,,,〇,旧BZ,,,,,foundation-0008,データ分析者・利活用者として、データの倫理的な活用上の許容される範囲や、ユーザサイドへの必要な許諾について概ね理解している（直近の個人情報に関する法令：個人情報保護法、EU一般データ保護規則、データポータビリティなど）,No: 8 | Sub No: 8 | スキルカテゴリ: 行動規範 | サブカテゴリ: コンプライアンス | スキルレベル: ★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,9,1,,,論理的思考,MECE,★,1,,,,,〇,旧BZ,,,,,foundation-0009,データや事象の重複に気づくことができる,No: 9 | Sub No: 1 | スキルカテゴリ: 論理的思考 | サブカテゴリ: MECE | スキルレベル: ★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,10,2,,,論理的思考,MECE,★★,2,,,,,,旧BZ,,,,,foundation-0010,初見の課題やテーマに対して、検討の抜け漏れや重複をなくすことができる,No: 10 | Sub No: 2 | スキルカテゴリ: 論理的思考 | サブカテゴリ: MECE | スキルレベル: ★★ | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,11,3,,,論理的思考,MECE,★★★,3,,,,,,旧BZ,,,,,foundation-0011,前例のない課題やテーマであっても、他の事象からの類推などを活用し、検討の抜け漏れや重複をなくすことができる,No: 11 | Sub No: 3 | スキルカテゴリ: 論理的思考 | サブカテゴリ: MECE | スキルレベル: ★★★ | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
